date,Fund_of_Funds,Emerging_Markets,Equity_Hedge,Event_Driven,Macro,Relative_Value,,MKT_RF,SMB,HML,RMW,CMA,MOM,,RF,Fund_of_Funds-rf,EM-rf,EH-rf,ED-rf,M-rf,RV-rf,,zerobeta,zerobeta-rf
Jan-90,0.0007,-0.0084,-0.0334,-0.0569,-0.0123,0.0084,,-0.0785,-0.0132,0.0085,-0.0118,0.0137,-0.0327,,0.0057,-0.0050,-0.0141,-0.0391,-0.0626,-0.0180,0.0027,,,
Feb-90,0.0134,0.0206,0.0285,0.0169,0.0048,0.0167,,0.0111,0.0115,0.0064,-0.0007,-0.0061,-0.0054,,0.0057,0.0077,0.0149,0.0228,0.0112,-0.0009,0.0110,,,
Mar-90,0.0207,0.0063,0.0567,0.0492,0.0354,0.0190,,0.0183,0.0158,-0.0292,0.0202,-0.0095,0.0180,,0.0064,0.0143,-0.0001,0.0503,0.0428,0.0290,0.0126,,,
Apr-90,0.0089,-0.0187,-0.0087,0.0116,-0.0074,0.0150,,-0.0336,-0.0032,-0.0259,0.0181,-0.0100,0.0239,,0.0069,0.0020,-0.0256,-0.0156,0.0047,-0.0143,0.0081,,,
May-90,0.0047,0.0657,0.0592,0.0193,0.0398,0.0157,,0.0842,-0.0237,-0.0383,0.0154,-0.0158,0.0303,,0.0068,-0.0021,0.0589,0.0524,0.0125,0.0330,0.0089,,,
Jun-90,0.0221,0.0188,0.0252,0.0137,0.0165,0.0096,,-0.0109,0.0131,-0.0193,-0.0110,-0.0036,0.0240,,0.0063,0.0158,0.0125,0.0189,0.0074,0.0102,0.0033,,,
Jul-90,0.0307,0.0588,0.0200,0.0114,0.0383,0.0135,,-0.0190,-0.0314,-0.0004,-0.0011,0.0323,0.0614,,0.0068,0.0239,0.0520,0.0132,0.0046,0.0315,0.0067,,,
Aug-90,0.0163,-0.1207,-0.0188,-0.0453,-0.0378,-0.0046,,-0.1015,-0.0386,0.0160,-0.0035,0.0299,0.0188,,0.0066,0.0097,-0.1273,-0.0254,-0.0519,-0.0444,-0.0112,,,
Sep-90,0.0284,-0.0671,0.0165,-0.0278,-0.0098,0.0104,,-0.0612,-0.0374,0.0061,0.0006,0.0361,0.0578,,0.0060,0.0224,-0.0731,0.0105,-0.0338,-0.0158,0.0044,,,
Oct-90,0.0164,0.0482,0.0077,-0.0160,0.0260,0.0056,,-0.0192,-0.0507,0.0000,0.0313,-0.0032,0.0671,,0.0068,0.0096,0.0414,0.0009,-0.0228,0.0192,-0.0012,,,
Nov-90,0.0000,-0.0219,-0.0229,0.0080,0.0114,0.0132,,0.0635,0.0004,-0.0297,0.0050,-0.0469,-0.0548,,0.0057,-0.0057,-0.0276,-0.0286,0.0023,0.0057,0.0075,,,
Dec-90,0.0009,0.0003,0.0102,0.0163,0.0171,0.0040,,0.0246,0.0064,-0.0163,0.0264,-0.0181,0.0029,,0.0060,-0.0051,-0.0057,0.0042,0.0103,0.0111,-0.0020,,,
Jan-91,0.0039,0.0243,0.0490,0.0100,-0.0025,0.0259,,0.0469,0.0389,-0.0157,0.0126,-0.0385,-0.0645,,0.0052,-0.0013,0.0191,0.0438,0.0048,-0.0077,0.0207,,,
Feb-91,-0.0003,0.0819,0.0520,0.0442,0.0631,0.0310,,0.0719,0.0401,-0.0063,-0.0004,-0.0043,-0.0461,,0.0048,-0.0051,0.0771,0.0472,0.0394,0.0583,0.0262,,,
Mar-91,0.0352,0.0416,0.0722,0.0337,0.0685,0.0266,,0.0265,0.0382,-0.0130,-0.0050,-0.0111,0.0287,,0.0044,0.0308,0.0372,0.0678,0.0293,0.0641,0.0222,,,
Apr-91,-0.0083,0.0194,0.0047,0.0306,-0.0168,0.0180,,-0.0028,0.0032,0.0145,0.0064,0.0080,-0.0236,,0.0053,-0.0136,0.0141,-0.0006,0.0253,-0.0221,0.0127,,,
May-91,0.0077,0.0251,0.0320,0.0285,0.0001,0.0070,,0.0365,0.0012,-0.0049,0.0205,-0.0235,-0.0011,,0.0047,0.0030,0.0204,0.0273,0.0238,-0.0046,0.0023,,,
Jun-91,0.0118,-0.0117,0.0059,0.0024,0.0262,-0.0045,,-0.0494,0.0026,0.0107,0.0177,0.0064,0.0047,,0.0042,0.0076,-0.0159,0.0017,-0.0018,0.0220,-0.0087,,,
Jul-91,0.0051,0.0543,0.0141,0.0233,0.0243,0.0144,,0.0424,-0.0095,-0.0132,0.0161,-0.0138,0.0422,,0.0049,0.0002,0.0494,0.0092,0.0184,0.0194,0.0095,,,
Aug-91,0.0131,0.0079,0.0217,0.0126,0.0670,0.0051,,0.0232,0.0141,-0.0078,0.0085,-0.0034,0.0157,,0.0046,0.0085,0.0033,0.0171,0.0080,0.0624,0.0005,,,
Sep-91,0.0176,-0.0003,0.0430,0.0148,0.0596,0.0203,,-0.0159,0.0156,-0.0107,-0.0180,0.0008,0.0179,,0.0046,0.0130,-0.0049,0.0384,0.0102,0.0550,0.0157,,,
Oct-91,0.0061,0.0037,0.0116,0.0234,0.0233,-0.0051,,0.0129,0.0090,-0.0046,-0.0173,-0.0023,0.0306,,0.0042,0.0019,-0.0005,0.0074,0.0192,0.0191,-0.0093,,,
Nov-91,0.0005,0.0189,-0.0108,0.0052,0.0075,0.0066,,-0.0419,-0.0084,-0.0188,0.0106,0.0001,0.0114,,0.0039,-0.0034,0.0150,-0.0147,0.0013,0.0036,0.0027,,,
Dec-91,0.0450,0.1227,0.0502,0.0169,0.0744,-0.0119,,0.1084,-0.0240,-0.0418,0.0356,-0.0312,0.0819,,0.0038,0.0412,0.1189,0.0464,0.0131,0.0706,-0.0157,,,
Jan-92,0.0132,0.0806,0.0249,0.0421,0.0280,0.0572,,-0.0059,0.0919,0.0470,-0.0129,0.0320,-0.0249,,0.0034,0.0098,0.0772,0.0215,0.0387,0.0246,0.0538,,,
Feb-92,0.0116,0.0326,0.0290,0.0213,0.0034,0.0260,,0.0109,0.0134,0.0647,0.0010,0.0219,-0.0053,,0.0028,0.0088,0.0298,0.0262,0.0185,0.0006,0.0232,,,
Mar-92,0.0080,0.0277,-0.0028,0.0159,0.0032,-0.0079,,-0.0266,-0.0093,0.0355,-0.0001,0.0195,-0.0029,,0.0034,0.0046,0.0243,-0.0062,0.0125,-0.0002,-0.0113,,,
Apr-92,0.0012,0.0139,0.0027,0.0033,0.0112,0.0212,,0.0107,-0.0570,0.0432,0.0169,0.0223,-0.0258,,0.0032,-0.0020,0.0107,-0.0005,0.0001,0.0080,0.0180,,,
May-92,0.0028,0.0413,0.0085,0.0101,0.0699,0.0195,,0.0030,0.0021,0.0119,-0.0096,0.0048,0.0021,,0.0028,0.0000,0.0385,0.0057,0.0073,0.0671,0.0167,,,
Jun-92,0.0044,-0.0374,-0.0092,0.0011,0.0087,0.0246,,-0.0234,-0.0274,0.0325,-0.0009,0.0101,-0.0058,,0.0032,0.0012,-0.0406,-0.0124,-0.0021,0.0055,0.0214,,,
Jul-92,0.0082,-0.0047,0.0276,0.0122,0.0171,0.0205,,0.0377,-0.0066,-0.0055,0.0124,-0.0089,0.0159,,0.0031,0.0051,-0.0078,0.0245,0.0091,0.0140,0.0174,,,
